STATUS,RWT,ETA,CONTAINER#,SUPPLIER,DESCRIPTIONS,Month,Year
Cleared,303881,2026-01-23,TEMU8258260,TCL,"FHD FLAT QLED ANDROID 32IN GOOGLE TV BLA, UHD 4K FLAT LED ANDROID 75IN GOOGLE TV B, UHD 4K FLAT QLED ANDROID 85IN GOOGLE TV, UHD 4K FLAT QLED SMART 98P GOOGLE TV BLA, FHD FLAT QLED SMART 50P GOOGLE TV BLACK",1,2026
Cleared,304371,2026-02-06,MSBU8792170,TCL,UHD 4K FLAT LED ANDROID 55P GOOGLE TV B UHD 4K FLAT QLED SMART 98P GOOGLE TV BLACK  FHD FLAT QLED SMART 50P GOOGLE TV BLACK,2,2026
Cleared,303910,2026-02-22,GAOU7955950,TCL,"FHD FLAT QLED ANDROID 32IN GOOGLE TV BLA, UHD 4K FLAT LED ANDROID 75IN GOOGLE TV B, UHD 4K FLAT QLED ANDROID 85IN GOOGLE TV, UHD 4K FLAT QLED SMART 98P GOOGLE TV BLA, SOUND BAR 2 1CH",2,2026
Cleared,305353,2026-03-13,MSBU2020204,LATIN TRADING CO ,WESTINGHOUSE TVs & TABLETS,3,2026
Cleared,304903,2026-03-28,SEGU6075752,TCL,"UHD 4K FLAT LED ANDROID 55P GOOGLE TV B, FHD QLED SMART 50P GOOGLE TV, SMART TV UHD 4K MINI LED 98IN",3,2026
Cleared,304904,2026-03-28,TLLU8899809,TCL,"UHD 4K FLAT LED ANDROID 55P GOOGLE TV B, FHD QLED SMART 50P GOOGLE TV",3,2026
Cleared,304894,2026-03-28,CMAU4738933,TCL,"FHD QLED SMART 32P GOOGLE TV, FHD QLED SMART 43P GOOGLE TV",3,2026
Cleared,305567,2026-04-10,ZCSU6113107,TCL,"FHD QLED SMART 32P GOOGLE TV, UHD 4K FLAT LED ANDROID 55P GOOGLE TV B, FHD QLED SMART 50P GOOGLE TV, UHD 4K FLAT MINI LED ANDROID 115P GOOGLE, SMART TV UHD 4K MINI LED 98IN",4,2026
Payments Rec'd - Awaiting Releases,305585,2026-05-11,JXLU4672209,TCL,"50P QLED FHD GOOGLE TV SMART TV, UHD 4K FLAT LED ANDROID 55P GOOGLE TV B, 98P QLED UHD 4K GOOGLE TV SMART TV, SOUND BAR 2 1CH",5,2026
Payments Rec'd - Awaiting Releases,305589,2026-05-11,ZCSU6674601,TCL,"32P QLED GOOGLE TV, 43P QLED GOOGLE TV, UHD 4K FLAT LED ANDROID 55P GOOGLE TV B",5,2026
Payments Rec'd - Awaiting Releases,307022,2026-05-12,ONEU6948463,TCL,"32P QLED GOOGLE TV, 50P QLED FHD GOOGLE TV SMART TV, 43P QLED GOOGLE TV, UHD 4K FLAT LED ANDROID 55P GOOGLE TV B",5,2026
Payments Rec'd - Awaiting Releases,307021,2026-05-12,NYKU5212125,TCL,TVs & SPARE PARTS,5,2026
Charges Rec'd - Pending Receipt of Cheque and Shipment Arrival,307020,2026-05-12,FFAU6470600 ,TCL,"50P QLED FHD GOOGLE TV SMART TV, UHD 4K FLAT LED ANDROID 55P GOOGLE TV B, UHD 4K FLAT LED ANDROID 75IN GOOGLE TV B, UHD 4K FLAT QLED SMART 98P GOOGLE TV BLACK",5,2026
Charges Rec'd - Pending Receipt of Cheque and Shipment Arrival,306960,2026-05-12,TCLU1798721 ,TCL,"43P QLED GOOGLE TV, UHD 4K FLAT LED ANDROID 55P GOOGLE TV B, UHD 4K FLAT LED ANDROID 75IN GOOGLE TV B, SMART TV UHD 4K QLED 85IN",5,2026
Docs Passed to Broker,306974,2026-05-12,KKFU7896582 ,TCL,"50P QLED FHD GOOGLE TV SMART TV, 43P QLED GOOGLE TV, UHD 4K FLAT LED ANDROID 75IN GOOGLE TV B, UHD 4K FLAT QLED SMART 98P GOOGLE TV BLACK",5,2026
Payments Rec'd - Awaiting Releases,306742,2026-05-19,TRHU5925070,LG,"720 WATT MINI AUDIO SYSTEM WITH SUBW, X BOOM 3500W RM BLUETOOTH USB KARAOKE, AUDIO SYSTEM WITH BASS BLAST, LG XBOOM CK43N",5,2026
